.id,kind,etag,id,contentDetails.videoId,contentDetails.videoPublishedAt
items11,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Swdw5IL0pCkOxxjNvInSxcf6RM8""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BRTI3ODA3RTlFNDk1Mzc5,EG0wQRsXLi4,2016-11-13T08:30:20.000Z
items12,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/f5gVv0vaB2KbEsluKTUauhpYLjU""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GRUIyN0Q4Mzg5RkYyNTZE,X-zSJljpKNc,2017-12-31T05:11:40.000Z
items13,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/izWw1maGs_Rtd1ERe-pL8BPeS48""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BMjQ5NDY0QUVGOTBDRDcz,pfz0tDQZhqs,2019-01-01T17:00:05.000Z
items14,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/LjfewK3CyCiHddIP2qyjZbBtL58""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FMDEyMEUwQjExM0Q3QjMz,kB5XXn0eKow,2017-12-31T05:19:21.000Z
items15,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/AydUbz8yDqSyuQBTas9b43ozP1s""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FREMwNTE1MUI1QzE3Qzgx,ZgNFiYbSr4I,2017-12-31T05:15:42.000Z
items16,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/39HTnppAu_x5lGQHMHctjw7v49k""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5CODU3RkJEOThGRkRFNkVG,CTdDSYdq4d8,2019-06-07T21:11:51.000Z
items17,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/RfvRhq7lX22hR4XhB1mnScEwQJg""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FMUY4QUVEODg0QzhDMEFE,oDcA9BIB_NQ,2017-12-31T05:16:24.000Z
items18,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/dBs3lEBxsE4q2IOdEoBqyKh6nZU""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yMEFDNzE1NDIyRUMxRUU5,RhaifCEZks4,2017-12-31T05:22:53.000Z
items19,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/dV7sEzToYSR9hyejxjW3l9tCMIc""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EOUYyNEEzMTVDNkM0MEVE,9DLuALBnolM,2017-12-31T05:15:06.000Z
items20,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/JndB8D7Yr55tDdZPf2VpolDNsDs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BQzNFQ0E1Qjg5QkQzRjI4,FRZN7IzvCVs,2014-05-25T06:00:01.000Z
items21,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/5WcNNJxfdG73bAcEbqgF4tf3YQU""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC45MzVCQjk4Nzc1QkIxRkU3,XXc3O6GMZt0,2017-12-31T05:18:48.000Z
items22,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Ew7XbSKie4dA1oqa1OIHfBXVhmI""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GMzIxRjJCNkFFREI3OEFD,iLsvH7_EF34,2017-12-31T05:00:03.000Z
items23,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/bFJ2djMbBzhslEjUlvH008jaEEs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC44QjIyQzY5NkJCOEI5NDI1,j-emlb2_jdI,2017-12-31T05:00:07.000Z
items24,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/NK8vPXFvQKS0SQ4LV93bo8KXS_s""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GRDdBNEJGRUVFNDEwNUZG,eafRE74JGZ8,2017-12-31T05:17:27.000Z
items25,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/MYz0ro1hTTi6f-t6yN7IFVaNHTE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EMEM5QkQ1NTM4OEM5NTc5,f059lvvbDyo,2017-12-31T05:23:31.000Z
items26,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/DlMc9pE4CGKj4GxyhSrFnpz3N3w""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC40MzhERDkxMTUxOUQ2RUQ4,ZdVAH8Z5O90,2017-12-31T05:07:19.000Z
items27,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/uEiSKshwI6-MYl7TS7v692euPLs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC43RjREMjhDODZEMTEwQjcx,vAjMXH5JQiY,2017-12-31T05:18:08.000Z
items28,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/qN7Iq0aswAezlRVi1Ca7i-3XQZA""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5CQjRBQjlBMEI4RDgxMDJE,yvwlEPyi6Y4,2017-12-31T05:20:00.000Z
items29,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/oNo2aoXnfSEmvjd-uIPS-RC6zDs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC45N0EzMzM1MzFCMkUzRjhG,LVzxZcB31Jg,2018-01-02T16:30:13.000Z
items30,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/FjoE_uaqokHuHyevqNVYkLx4rHo""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wMjQ0RjUxMUE5QzlBMDkz,AH-Dm-sDgtE,2017-12-31T05:00:02.000Z
items31,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/FgWonRpZCqTrY7MehkBPdTa2fvI""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41NzlCRjAwMTIyOTlCN0ZC,Ll3MHIBmDGU,2018-06-18T16:00:04.000Z
items32,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Jv6WCoA96VIl_j6XOBBylFILQVs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC43NEIwQzcxQ0NBNTY5N0RE,D7oXFmuUHLQ,2017-12-31T05:06:12.000Z
items33,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/nIjMLsH2QiYb2zJ2KshgGnBs0Ig""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FOTlFOUVDRkI3N0VBNUM3,4eHMgXlugIU,2014-05-24T06:00:01.000Z
items34,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/6OAEXT65GPIbU-Kp6P3dxFetnVk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EQkQ3OTU5N0QzM0JGODBF,uWYdJpHFmSM,2014-05-23T17:02:27.000Z
items35,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/ftylOvavq5Vvxt7kzpdCFt67iWo""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wNTEwNEY4QTYwNjYxQkYx,neUsrOzJ8T8,2017-12-31T05:00:01.000Z
items36,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/UE-t-K9C7KI6WA0NzsCxsqVLAUo""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GQTc2NTBDNkI1MDc4Mjk0,p3p2GrSO6JI,2018-03-13T16:00:04.000Z
items37,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/qOjh1n1y1bjZqNrASvtPM5Aj0UA""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EQkIyQzNGNUEyQjIwQjIz,wJPsR6GM2yU,2018-01-10T20:11:08.000Z
items38,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/9AtN_vAQo8EFsXB4pD1aKO4lhV4""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC45MzMwQTdEMEM5MkYzODEx,zhUnEg0he4A,2017-12-31T05:20:40.000Z
items39,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/gDAQb7wlD5Jijd7pIugI75T9lAk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wNzQwNzZEQUJCQ0EyMUJD,lbqgAByAKao,2017-12-31T05:00:11.000Z
items40,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/VPquWRIzlPUDpu7zkNrKtR9E9VM""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC42MDJCRjQxQzUzMDY4OUMw,ff8LEx9Mw54,2017-12-31T05:12:47.000Z
items41,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/0m5KkAdfYDzWQRsAWoo85ULMCz0""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BOTdCNjFCMDZGQ0U0MkY1,Jpo0IKtYQkA,2017-08-05T17:50:09.000Z
items42,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/OETXMM3G9BNfQ9aprrRU0mE3RBs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC42MUREOUJDQzc5QTMzQThB,2-RwPfxtOO0,2017-12-31T05:00:04.000Z
items43,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/1QsOY2asQE4qGMN40bcl0ak-RQ8""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41MTI5N0VDQzdFRDkyRUZB,ddIz-ydl6Yk,2018-02-22T08:00:01.000Z
items44,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Cr9uwH_yNse6Ip34Ve4vMN6fLzY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BMjFDNjBGMDZERDk0MUY2,fjTUZtpLLSc,2011-04-27T23:05:07.000Z
items45,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/3SiXSDcbg9QOvpfjlpzOy_PQo2M""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41NjZDMjFGOUE2MkY3RDNC,L-Vdfoz7rVQ,2016-01-17T17:00:00.000Z
items46,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Io07VdgGEdjkz4qe6NX6gVduF90""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yN0MxOTQyMzk2ODM0OUUx,86E3e_i4SKE,2017-09-11T23:28:22.000Z
items47,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/5cDK3pifZeNY1Pyqder2UKFWVPk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41QTJEMjk5NEUyNjdBM0Mw,ClEwU46epmY,2019-07-30T16:21:29.000Z
items48,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/ssfnH_voKr6876lKXFSX0GhuFBE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GRjM0QjEzODRBQzFGMDMw,pbk30zUfbUA,2013-04-09T15:56:12.000Z
items49,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/ZyaOpThc_D6QMMswcre-KKUax9w""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5ENjIzOTBBQ0EwODQzNzU3,qn6gjCC-UBU,2013-05-25T19:15:06.000Z
items50,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/kSTCM2EWxwR1ETEIaZD5lkl3vyY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4xM0QzQzUyMkQwQjFEMTlB,nXtMNTb_FYM,2016-04-26T04:53:45.000Z
items1,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/2sZnh7l76tzhCr0p3EdVSu87Qqo""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC43MzIwOTU2QjBDQjgyRjE3,Jr2Sd1MI8Mg,2018-06-21T18:00:01.000Z
items2,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/ITR3M7Kivt23H4KgIjz5_iQByXk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yNzA2Q0E3Qjg1RjU5QzhB,QLdKZ0N3S5E,2018-12-10T17:00:02.000Z
items3,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/V56SXfE7WZwDnpt5QU4xaHz4vHA""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GNENCRUIyRTVFMzcwODE2,F8IfiyF5OSE,2019-01-01T03:47:59.000Z
items4,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/1IseAdiAFay3APkvaSfjkt92UgM""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4zNzNFNjc2M0ZDMkU3NUUy,K-50UFUC5YI,2017-08-24T16:51:01.000Z
items5,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/xV52HJxi3LGVTRPnQLFV_ByJITE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41NzNCQjRCOUJFRTFEQzA0,lQ4hYdxMIzY,2011-12-09T00:08:49.000Z
items6,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/82sO4_ADMEfMhVWVHgDdYBMHevY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wOUFEMkI1MjgxMjFBMUEz,Xx0yzU8R55c,2019-09-19T12:38:26.000Z
items7,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/4xCP1o1W9LUe1_Pku0FNJcuFDbY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EMzQ4RTk1QTNCMjYyMjdC,uPBD7CHbjYc,2017-05-18T07:30:50.000Z
items8,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/XeVQy3lzUiSxvf6CCRxaWGbwhn4""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GQjNGOTE2RjlGQjc0RUQx,INvVLXGJbo8,2018-09-11T13:30:00.000Z
items9,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/m7gbFGu-GPoZa9gANOFZiJpWtVM""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC40MDY1REVDRDZFNTIyMkRB,AGnQrJAwWsk,2019-02-25T06:31:55.000Z
items10,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/JC8OfFmfVf4D0A6TNb-xOO1-85U""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FMjM4QzNGNUQ4QkRGNUMw,Et4MrTvY3zY,2019-08-19T12:56:10.000Z
items11,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/oxvPGPMGfEFvhx5pTyVDQxREoa4""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4xMjEyOEMwQ0M0NEJFRDBB,vfZzBxrnLNU,2019-09-14T18:00:05.000Z
items12,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/pvNimwUvqSCIrGJDkraRot-xPdg""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EOURBRDQ4QzQyQTY1ODAw,x6Eky0Yyikc,2018-04-21T21:33:00.000Z
items13,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/vC1HKtgegYJixEUx2MLKfNbptyY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5BRDg0NjAwN0M0NzZFNjQ2,HIaWNz-susE,2017-03-21T19:48:04.000Z
items14,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/6uXNQKQxhrBqDWSKk0V6AG1J-Yk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5ERDY2OUUyQzhFMDI1REU1,2MZZ__5F_-A,2019-08-27T00:34:04.000Z
items15,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/QKvl-TgIi06VDqReQNbfoz_Ssb0""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4xQUJENDY4NjhEOEY2NTA2,toAEQTsidvg,2010-08-12T17:10:59.000Z
items16,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/qfs05cUXoqQ_WBB-7GEYO9SkROk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wQTVEQjc3QjcyNEJGNzdC,pZ_R4glgnOg,2018-01-13T18:00:04.000Z
items17,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/rPrrggUkVGHsc36OejMLgYuYB58""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yREI1RjBDRTAwMjg2MEIx,C-L06Plh8wo,2018-08-08T04:31:08.000Z
items18,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/g1UB1CUKH0DVuVClkbafDXxmf5s""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4zREJCOTg0RjdDRDU5RkNB,fYTBvipKsyA,2016-12-02T05:26:34.000Z
items19,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/mBNU-xT-hWBkW3O8N5w7P8VgQqk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5ENjhGMjExNDE1OTYwMEQ4,QOhq4yDUwoM,2019-02-20T23:28:37.000Z
items20,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/PK3aICyzHgjhKLoQAUuD5VOfkMM""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4zQ0FFN0MwNUUwMTQzMEJD,zGnFTdwe2sM,2016-06-28T00:12:15.000Z
items21,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/xAdbT0K0zBl6R9SWd0rMqcRM_6A""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5EMEE3NTkxRkY0MzFCODU1,Q3I9ENHz_UA,2012-12-01T02:38:29.000Z
items22,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/KN3B9zhDJLWRX4R2KqbsGba-TVk""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC43RTU3NEM1MzJEOUFGOTEz,YT6OFZBAsbY,2018-02-01T04:28:09.000Z
items23,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/uP6pfXKOnYrenDSTlBihqsiIiZE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4zQkI3NEQ5MzRDQjhCODU1,rmc_HC4MVUU,2012-07-26T06:27:40.000Z
items24,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/anplDzzWd1z_1oxNc8gI_SE99m0""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC40NjYzNkNBMUQ0RDFGOTlD,B-hynjEdTaY,2013-10-26T02:34:20.000Z
items25,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/8NCJ320rOU3cyu0Gp0fdHWcZJeY""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC42MjY3MUFGM0IxQkNCMkZB,gZWb5nSSbtc,2011-03-10T13:00:10.000Z
items26,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/TRLp7t1rGS5xk1Rc4ANsB5zFDpU""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC40RTc0NjYxNDU0NEMxQkI1,V4zHD4xfa6s,2018-04-05T22:40:28.000Z
items27,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Rj3YHU4XAf7psw1kQPv8K2Q4ogE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5CNTlFQ0U3QkQxM0QwQkQ1,Z0S9VEm3bT4,2011-01-15T04:03:22.000Z
items28,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/p5b_H5Z2S5RjvZeiEfclAZkhhz8""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC45MDgzMkJFODZBMDFENEY3,x8CuIpfOoaM,2019-08-04T04:43:34.000Z
items29,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/LJo59aK-cq5qK4NVRdMocjoLKCs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5CNUY2MTU1OENCRUYwRUQ4,W7UErDmH8Cw,2015-12-08T12:46:14.000Z
items30,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/AW5nPn2KU8KL3o0a481hLpOvVq8""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FNzMxNjUyMjdBQzNBNURF,1N5p8IXzNdc,2010-08-14T06:24:35.000Z
items31,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/R6TBqbdOU5ROm-AejkVNVOdgtRQ""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41RDA0NDlBMkE0MkY4N0ZG,qOpf5L0Ehgk,2010-10-15T05:03:37.000Z
items32,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/vLn5A8TwiJ9TpCzQpLwlL_yZGQg""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yRjUzQzk3RjZDQzg3OUNE,NiWRxkHUr80,2008-03-09T18:51:20.000Z
items33,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/6N6wZ2D8b5hO7ZD9F55W-G-19ag""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC41NUEwRkE2NDFCMkIwNjYz,PTjQUHbYbrE,2019-01-27T05:23:26.000Z
