published_at,dislike_count,url,id,comment_count,title,view_count,like_count,host
2013-04-24T10:47:27Z,1020,https://i.ytimg.com/vi/TYbY45rHj8w/default.jpg,TYbY45rHj8w,6463,The Daily Show - Gun Control & Political Suicide,3705995,30558,Jon
2013-04-26T07:59:29Z,1384,https://i.ytimg.com/vi/mVuspKSjfgA/default.jpg,mVuspKSjfgA,12124,The Daily Show - John Oliver's Australia & Gun Control's Aftermath,3676543,29394,Jon
2015-05-05T13:42:21Z,592,https://i.ytimg.com/vi/Xhn7FHHQbVw/default.jpg,Xhn7FHHQbVw,1367,The Daily Show - To Shoot or Not to Shoot & Fear and Absent Danger,3237082,17772,Jon
2014-12-04T22:48:05Z,603,https://i.ytimg.com/vi/cV1XoclfexI/default.jpg,cV1XoclfexI,1430,The Daily Show - Instigate,2956233,16748,Jon
2015-10-05T23:55:40Z,261,https://i.ytimg.com/vi/Ou1pomxPViU/default.jpg,Ou1pomxPViU,469,The Daily Show - The Best of John Oliver,2888358,17517,Jon
2015-03-30T16:27:44Z,542,https://i.ytimg.com/vi/0DHf-TLmwNA/default.jpg,0DHf-TLmwNA,1244,The Daily Show - Boko Haram in Nigeria,2873713,19536,Jon
2015-03-20T15:11:15Z,513,https://i.ytimg.com/vi/0i8-ZNLEeag/default.jpg,0i8-ZNLEeag,1233,The Daily Show - Mighty Morphin Position Changers,2826635,22661,Jon
2014-12-18T21:32:33Z,705,https://i.ytimg.com/vi/rGbHxjjrCFE/default.jpg,rGbHxjjrCFE,1420,The Daily Show - Rage Against the Rage Against the Machine,2758141,22071,Jon
2015-04-15T13:45:12Z,336,https://i.ytimg.com/vi/mlJmW3sFPEI/default.jpg,mlJmW3sFPEI,948,The Daily Show - Start Wars,2749705,16424,Jon
2015-06-19T13:52:57Z,1403,https://i.ytimg.com/vi/mjzrvRKv6Ks/default.jpg,mjzrvRKv6Ks,3895,The Daily Show - Charleston Church Shooting,2719614,32386,Jon
2015-07-22T03:03:29Z,878,https://i.ytimg.com/vi/L88H2HWEXrw/default.jpg,L88H2HWEXrw,3216,The Daily Show - Exclusive - Barack Obama Extended Interview,2692166,18264,Jon
2014-12-05T17:01:45Z,636,https://i.ytimg.com/vi/w8KqDIPdCOg/default.jpg,w8KqDIPdCOg,2291,The Daily Show - We Can’t Breathe,2666774,19371,Jon
2014-03-25T20:09:12Z,290,https://i.ytimg.com/vi/krFN7jHKNNo/default.jpg,krFN7jHKNNo,831,The Daily Show - The Curious Case of Flight 370,2595219,13943,Jon
2015-03-18T13:23:35Z,321,https://i.ytimg.com/vi/_JHHfsRWOro/default.jpg,_JHHfsRWOro,844,The Daily Show - Hatewatch with Jon Stewart,2500736,14247,Jon
2015-03-18T13:36:37Z,316,https://i.ytimg.com/vi/jCG_i9lnBFc/default.jpg,jCG_i9lnBFc,893,The Daily Show - The Snacks of Life,2491087,16834,Jon
2015-10-05T23:56:44Z,847,https://i.ytimg.com/vi/LyDOAQNsTrI/default.jpg,LyDOAQNsTrI,2048,"The Daily Show - Egypt, Mohamed Morsi, and Bassem Youssef",2294669,16788,Jon
2015-05-12T14:34:47Z,425,https://i.ytimg.com/vi/qt8gEvGJe_I/default.jpg,qt8gEvGJe_I,1222,The Daily Show - London Voting,2237570,12536,Jon
2014-05-01T16:37:16Z,190,https://i.ytimg.com/vi/D3Lv6tINW8I/default.jpg,D3Lv6tINW8I,754,The Daily Show - Consequence-Free Speech,2211017,10243,Jon
2015-03-27T13:30:08Z,267,https://i.ytimg.com/vi/rRb0uIIL1VA/default.jpg,rRb0uIIL1VA,749,The Daily Show - The Special Network,2136659,14016,Jon
2014-09-26T20:56:11Z,996,https://i.ytimg.com/vi/loK2DRBnk24/default.jpg,loK2DRBnk24,3085,The Daily Show - The Redskins' Name - Catching Racism,2090457,19970,Jon
2015-03-12T21:13:14Z,310,https://i.ytimg.com/vi/tudyRn6HGps/default.jpg,tudyRn6HGps,837,The Daily Show - The Brotherhood of the Traveling Chants,2058253,15506,Jon
2015-01-22T23:39:51Z,304,https://i.ytimg.com/vi/IKvZg2WZTDQ/default.jpg,IKvZg2WZTDQ,558,The Daily Show - Majority Retort,2037728,9984,Jon
2015-04-07T14:59:48Z,414,https://i.ytimg.com/vi/mppJxR5wPCw/default.jpg,mppJxR5wPCw,1701,The Daily Show - A Million Gays to Deny in the Midwest,1943654,13008,Jon
2015-04-29T14:06:24Z,325,https://i.ytimg.com/vi/Wwy7pWvO3p0/default.jpg,Wwy7pWvO3p0,757,The Daily Show - Baltimore on Fire,1767986,10199,Jon
2015-03-24T13:47:11Z,437,https://i.ytimg.com/vi/rpzgXVA8eh0/default.jpg,rpzgXVA8eh0,1128,The Daily Show - Democalypse 2016 - Ted Cruz Is In,1730490,9695,Jon
2015-04-23T13:54:09Z,163,https://i.ytimg.com/vi/LhXMl_DRnXY/default.jpg,LhXMl_DRnXY,528,The Daily Show - Fraud City,1681817,11275,Jon
2015-04-24T14:46:23Z,181,https://i.ytimg.com/vi/Ma-gX-t4tuw/default.jpg,Ma-gX-t4tuw,419,The Daily Show - Shakes on a Plain & Secret Agent Can,1681533,9649,Jon
2014-10-16T20:14:27Z,643,https://i.ytimg.com/vi/8raaT7SRx18/default.jpg,8raaT7SRx18,3176,The Daily Show - Bill O'Reilly Extended Interview,1626671,12806,Jon
2015-06-03T16:37:43Z,913,https://i.ytimg.com/vi/8kgQADIHVSA/default.jpg,8kgQADIHVSA,1452,The Daily Show - Brave New Girl,1578945,13873,Jon
2015-05-28T15:56:39Z,814,https://i.ytimg.com/vi/AoPToNd4l1U/default.jpg,AoPToNd4l1U,751,Trevor Noah’s New and Sexy Daily Show,1566555,5926,Jon
2014-06-19T16:40:53Z,177,https://i.ytimg.com/vi/JFhKKbB9v0s/default.jpg,JFhKKbB9v0s,252,The Daily Show - Kevin Hart Extended Interview,1463837,6442,Jon
2015-02-11T05:33:38Z,249,https://i.ytimg.com/vi/8KM_kGxVUJw/default.jpg,8KM_kGxVUJw,1100,The Daily Show - Jon's Big Announcement,1456698,10498,Jon
2015-05-08T14:19:13Z,268,https://i.ytimg.com/vi/OyeLdL-XtNY/default.jpg,OyeLdL-XtNY,627,The Daily Show - The Fresh Prince of Ball Air,1451779,8433,Jon
2015-05-29T14:49:22Z,235,https://i.ytimg.com/vi/HnaqrepHrtc/default.jpg,HnaqrepHrtc,1188,The Daily Show - Democalypse 2016 - Bernie Sanders Kicks Off His Campaign,1443841,14277,Jon
2015-03-20T15:33:45Z,190,https://i.ytimg.com/vi/v-urVIOVJ9w/default.jpg,v-urVIOVJ9w,411,The Daily Show - Chess News Roundup,1389395,6830,Jon
2014-07-22T19:46:36Z,373,https://i.ytimg.com/vi/zmCKZYKsiGM/default.jpg,zmCKZYKsiGM,1622,The Daily Show - We Need to Talk About Israel,1379955,14532,Jon
2015-02-10T10:58:08Z,388,https://i.ytimg.com/vi/T-B7l-ZMcN8/default.jpg,T-B7l-ZMcN8,828,The Daily Show - An Egyptian Satirist in America - Bassem Youssef,1335630,13858,Jon
2015-05-14T13:51:51Z,214,https://i.ytimg.com/vi/cfhT-UZWs8o/default.jpg,cfhT-UZWs8o,865,The Daily Show - Britain's Non-Issues - Vulgar Insult,1281934,9132,Jon
2015-04-30T13:44:46Z,301,https://i.ytimg.com/vi/6aZqieJb_5k/default.jpg,6aZqieJb_5k,859,The Daily Show - Rights Courts,1270949,8392,Jon
2014-12-04T23:15:27Z,164,https://i.ytimg.com/vi/K4w7XXuJodo/default.jpg,K4w7XXuJodo,368,The Daily Show - American Hands Stand,1163365,6768,Jon
2014-05-06T15:57:29Z,166,https://i.ytimg.com/vi/Sj598Ugh1-w/default.jpg,Sj598Ugh1-w,427,The Daily Show - Bullet Points Over Benghazi,1130888,5514,Jon
2015-05-14T13:51:43Z,1741,https://i.ytimg.com/vi/ipfgfTtqq2c/default.jpg,ipfgfTtqq2c,3158,The Daily Show - Reza Aslan,1073945,9401,Jon
2015-04-08T15:55:22Z,95,https://i.ytimg.com/vi/FyAsM9XovFk/default.jpg,FyAsM9XovFk,280,The Daily Show - Legends of the Stall,1011540,5339,Jon
2015-04-14T14:04:43Z,425,https://i.ytimg.com/vi/7pMxIzGaC_8/default.jpg,7pMxIzGaC_8,548,The Daily Show - Constant Intractable Madness,958870,10188,Jon
2015-04-17T15:54:54Z,125,https://i.ytimg.com/vi/HSlriHaSIWA/default.jpg,HSlriHaSIWA,500,The Daily Show - The Jon Stewart Mysteries Presents: The Case of the Iranian Agent!,946220,9580,Jon
2014-12-04T17:54:00Z,196,https://i.ytimg.com/vi/ov4nrS_TqU0/default.jpg,ov4nrS_TqU0,1494,The Daily Show - The Eric Garner Grand Jury Decision,933969,7472,Jon
2015-03-27T13:26:35Z,95,https://i.ytimg.com/vi/7ihWvyzEFBw/default.jpg,7ihWvyzEFBw,247,"The Daily Show - Wait, Whose Side Are We On Again? - Jason Jones's Departure",917352,5935,Jon
2015-05-12T14:54:32Z,99,https://i.ytimg.com/vi/GmYfjFSdFcQ/default.jpg,GmYfjFSdFcQ,342,The Daily Show - Democracy in the U.K. - Road To...Wait That's Where the Prime Minister Lives,810986,4930,Jon
2015-05-13T14:00:30Z,305,https://i.ytimg.com/vi/XRcrHP4xmlg/default.jpg,XRcrHP4xmlg,914,The Daily Show - Dad Bods,796709,5016,Jon
2015-04-24T14:45:38Z,133,https://i.ytimg.com/vi/n5uGrJvMieo/default.jpg,n5uGrJvMieo,658,The Daily Show - Neil deGrasse Tyson,771926,8785,Jon
2014-05-16T17:19:21Z,785,https://i.ytimg.com/vi/ZwF9FRcLsCg/default.jpg,ZwF9FRcLsCg,872,The Daily Show - India Jones and the Election of Doom,763399,7762,Jon
2015-05-01T13:51:56Z,138,https://i.ytimg.com/vi/MQMMrMkwspQ/default.jpg,MQMMrMkwspQ,331,The Daily Show - Samantha Bee's Goodbye,711904,7069,Jon
2015-04-09T14:12:14Z,145,https://i.ytimg.com/vi/xH7OS5uJGkY/default.jpg,xH7OS5uJGkY,620,The Daily Show - Fact-ish - Parenting with the Enemy,639946,5140,Jon
2015-01-13T21:09:49Z,65,https://i.ytimg.com/vi/_cgDRjn_oHo/default.jpg,_cgDRjn_oHo,129,The Daily Show - March of the Parisiens,587720,3038,Jon
2015-05-28T14:03:10Z,41,https://i.ytimg.com/vi/Roo--idDA24/default.jpg,Roo--idDA24,162,The Daily Show - Along Came Pollen,524363,4317,Jon
2015-05-05T13:42:30Z,203,https://i.ytimg.com/vi/oJPJ8xI62gc/default.jpg,oJPJ8xI62gc,546,The Daily Show - The Hate Class of 2015,490810,5523,Jon
2015-03-25T13:37:36Z,825,https://i.ytimg.com/vi/9wrxwHt9KAY/default.jpg,9wrxwHt9KAY,791,The Daily Show - The Future of Gender Wage Equality,458341,3645,Jon
2015-04-23T13:54:03Z,118,https://i.ytimg.com/vi/zY-UPHLJ31A/default.jpg,zY-UPHLJ31A,454,The Daily Show - The Return of a Simplot Conspiracy,394414,2740,Jon
2015-04-29T14:07:02Z,65,https://i.ytimg.com/vi/aLsHP4bae6k/default.jpg,aLsHP4bae6k,115,The Daily Show - #FUCO,381078,4624,Jon
2015-03-11T14:57:17Z,50,https://i.ytimg.com/vi/SQ8aRKG9660/default.jpg,SQ8aRKG9660,164,The Daily Show - Abbi Jacobson & Ilana Glazer,378698,2211,Jon
2015-04-24T14:45:54Z,55,https://i.ytimg.com/vi/m53llV2Nw3g/default.jpg,m53llV2Nw3g,53,The Daily Show - 2015: A Space Gated Community,351491,2441,Jon
2015-06-09T14:05:33Z,83,https://i.ytimg.com/vi/HbSBZycnyac/default.jpg,HbSBZycnyac,124,The Daily Show - Assault Swim - Progress in Community Policing,346972,3173,Jon
2015-04-17T14:06:54Z,43,https://i.ytimg.com/vi/NSdcD0EuiF8/default.jpg,NSdcD0EuiF8,74,The Daily Show - 2015 'Mercun Awards,339911,2667,Jon
2015-04-16T13:47:56Z,132,https://i.ytimg.com/vi/VF-YSTDLO_g/default.jpg,VF-YSTDLO_g,417,The Daily Show - The Future Christ,328381,2163,Jon
2015-04-21T03:32:18Z,61,https://i.ytimg.com/vi/0TRDCsq5rM4/default.jpg,0TRDCsq5rM4,148,The Daily Show - Jon Stewart Announces His Final Episode,320260,1136,Jon
2015-06-09T14:05:53Z,207,https://i.ytimg.com/vi/UwPd_D3y3Pk/default.jpg,UwPd_D3y3Pk,986,The Daily Show - Nicola Sturgeon,280525,2005,Jon
2015-08-07T14:05:53Z,30,https://i.ytimg.com/vi/gitqGxNJpxA/default.jpg,gitqGxNJpxA,117,The Daily Show - Recap - Week of 8/3/15,279572,2476,Jon
2015-04-07T09:25:14Z,82,https://i.ytimg.com/vi/Nv7C6Az2ZhM/default.jpg,Nv7C6Az2ZhM,134,The Daily Show - The Daily Show's Once and Future Host,276894,1385,Jon
2015-02-26T18:32:55Z,26,https://i.ytimg.com/vi/AyNXZ1Slv_8/default.jpg,AyNXZ1Slv_8,71,The Daily Show - Better Call Foul,269065,2203,Jon
2014-12-04T23:25:39Z,66,https://i.ytimg.com/vi/eJtWwDsG_pA/default.jpg,eJtWwDsG_pA,169,The Daily Show - American Hands Stand - Race-a-holics,262921,1382,Jon
2015-04-14T14:04:49Z,52,https://i.ytimg.com/vi/WZwmkBi4xIY/default.jpg,WZwmkBi4xIY,218,The Daily Show - Adam Horovitz,245499,1983,Jon
2015-03-06T15:19:00Z,32,https://i.ytimg.com/vi/Ysbmj1WbiWs/default.jpg,Ysbmj1WbiWs,85,The Daily Show - System of a Town - The F.E.A. Party,223494,1654,Jon
2015-02-27T16:22:04Z,23,https://i.ytimg.com/vi/3IQLylXaE2Q/default.jpg,3IQLylXaE2Q,30,The Daily Show - Moment of Zen Interrupted,216114,1354,Jon
2015-03-24T13:49:05Z,2193,https://i.ytimg.com/vi/71dBK0iCRro/default.jpg,71dBK0iCRro,2119,The Daily Show - Ayaan Hirsi Ali,185425,1365,Jon
2015-05-27T13:38:43Z,26,https://i.ytimg.com/vi/fvCTFpQYkjY/default.jpg,fvCTFpQYkjY,229,The Daily Show - Rand Paul Pt. 1,162892,1166,Jon
2015-06-05T17:11:30Z,13,https://i.ytimg.com/vi/Z1JZ-dVPynI/default.jpg,Z1JZ-dVPynI,40,The Daily Show - A Look Back at Jon Stewart's Coverage on Politics and Culture,136015,1333,Jon
2015-02-26T17:08:19Z,11,https://i.ytimg.com/vi/VSPjy1ZY5Ec/default.jpg,VSPjy1ZY5Ec,12,The Daily Show - Spree-Man,134962,913,Jon
2014-12-04T22:32:17Z,20,https://i.ytimg.com/vi/oFrp_pWajmA/default.jpg,oFrp_pWajmA,79,The Daily Show - Race/Off - Live From Somewhere,126651,1745,Jon
2015-03-19T14:32:48Z,10,https://i.ytimg.com/vi/e4DT2coerDs/default.jpg,e4DT2coerDs,12,The Daily Show - SchockFail - Save the Interns,118669,1029,Jon
2015-03-30T18:33:53Z,38,https://i.ytimg.com/vi/wvH_ag173SU/default.jpg,wvH_ag173SU,197,The Daily Show Podcast - Meet Trevor Noah,117266,694,Jon
2015-06-09T14:06:10Z,36,https://i.ytimg.com/vi/eilT9Icgk3g/default.jpg,eilT9Icgk3g,273,The Daily Show - Nicola Sturgeon Extended Interview Pt. 2,112272,796,Jon
2015-05-27T13:38:52Z,18,https://i.ytimg.com/vi/ANPQfstUMdg/default.jpg,ANPQfstUMdg,274,The Daily Show - Rand Paul Pt. 2,105173,646,Jon
2015-03-13T13:55:02Z,15,https://i.ytimg.com/vi/F74b2mCGEI4/default.jpg,F74b2mCGEI4,29,The Daily Show - Hurricane Sandy Survivors' Long Wait for Housing,103973,708,Jon
2015-07-28T16:46:49Z,16,https://i.ytimg.com/vi/4OAbX_vqR9M/default.jpg,4OAbX_vqR9M,51,The Daily Show - Moment of Zen - Jon's Final Show Reminder & Unfortunate Shark Stories,103606,717,Jon
2015-06-12T15:50:01Z,4,https://i.ytimg.com/vi/9VhAYW1nHXE/default.jpg,9VhAYW1nHXE,21,The Daily Show - A Look Back - Cultural Docent Extraordinaire,101145,1071,Jon
2015-01-21T17:48:39Z,35,https://i.ytimg.com/vi/xYUzBENVQ4M/default.jpg,xYUzBENVQ4M,75,The Daily Show - Mike Huckabee,91836,492,Jon
2015-04-07T14:53:55Z,19,https://i.ytimg.com/vi/oW3UPfXHSUs/default.jpg,oW3UPfXHSUs,401,The Daily Show - Gene Baur,85124,1308,Jon
2015-03-17T13:51:54Z,26,https://i.ytimg.com/vi/cVhgXJWHojQ/default.jpg,cVhgXJWHojQ,7,The Daily Show - Meth Labs of Democracy: Don't Mess with Sexes - Magic Cone,84657,479,Jon
2015-06-03T15:58:33Z,61,https://i.ytimg.com/vi/p-1cWayetqk/default.jpg,p-1cWayetqk,127,The Daily Show - Bill de Blasio,80706,500,Jon
2015-03-04T21:27:07Z,13,https://i.ytimg.com/vi/WKOUWi9d4po/default.jpg,WKOUWi9d4po,48,The Daily Show - Robert Smigel,71634,510,Jon
2014-10-28T21:34:30Z,15,https://i.ytimg.com/vi/JKeceBpMenM/default.jpg,JKeceBpMenM,14,The Daily Show - Intro - Democalypse 2014: South by South Mess,67407,302,Jon
2014-10-02T17:08:39Z,79,https://i.ytimg.com/vi/Why2nMvpBPk/default.jpg,Why2nMvpBPk,62,The Daily Show - Hadi al-Bahra Extended Interview (مترجمة الى اللغة العربية),65884,414,Jon
2015-10-05T23:54:51Z,10,https://i.ytimg.com/vi/zgQMsBQifvU/default.jpg,zgQMsBQifvU,13,The Daily Show: Recap - Week of 7/14/14,56375,305,Jon
2015-06-26T13:18:29Z,3,https://i.ytimg.com/vi/21l1oOwo9TQ/default.jpg,21l1oOwo9TQ,25,The Daily Show - Your Month of Zen,55074,345,Jon
2014-10-01T16:59:21Z,75,https://i.ytimg.com/vi/WNJ-HmZtos8/default.jpg,WNJ-HmZtos8,104,The Daily Show - Hadi al-Bahra Extended Interview,53256,389,Jon
2015-06-03T15:59:16Z,11,https://i.ytimg.com/vi/6mXKOyusnmg/default.jpg,6mXKOyusnmg,26,The Daily Show - Exclusive - Bill de Blasio Extended Interview Pt. 2,44663,347,Jon
2015-03-12T13:30:30Z,25,https://i.ytimg.com/vi/Uf-CGKz3oKE/default.jpg,Uf-CGKz3oKE,109,The Daily Show - Common,43430,223,Jon
2015-03-17T13:39:49Z,4,https://i.ytimg.com/vi/vD2zcvzgclA/default.jpg,vD2zcvzgclA,10,The Daily Show - Moment of Zen - The World Is On Fire,41323,249,Jon
2015-01-08T16:19:12Z,6,https://i.ytimg.com/vi/vlyaN5DB1xo/default.jpg,vlyaN5DB1xo,2,The Daily Show: Recap - Week of 9/29/14,38791,182,Jon
2015-03-06T15:26:41Z,4,https://i.ytimg.com/vi/xT1XYdl6w3Q/default.jpg,xT1XYdl6w3Q,8,The Daily Show - Night of Too Many Stars - Enter to Win Tickets to Jon Stewart's Final Taping,38459,198,Jon
2015-04-30T20:39:14Z,13,https://i.ytimg.com/vi/AbNoenKzU18/default.jpg,AbNoenKzU18,9,The Daily Show - #FUCO Singalong,35414,441,Jon
2016-11-09T02:32:36Z,3675,https://i.ytimg.com/vi/SCRY_tOPQ7Q/default.jpg,SCRY_tOPQ7Q,3346,Make America Hate Again - Uncensored: The Daily Show,1790584,19996,Trevor
2016-11-03T17:45:47Z,3951,https://i.ytimg.com/vi/9334QCChovo/default.jpg,9334QCChovo,3773,Hillary Clinton Lives the Black Experience: The Daily Show,2277498,35187,Trevor
2016-09-08T00:21:25Z,912,https://i.ytimg.com/vi/9ElnkWjenqA/default.jpg,9ElnkWjenqA,1629,Donald Trump Tries to Woo Black Voters: The Daily Show,1924202,26574,Trevor
2016-08-19T16:03:44Z,163,https://i.ytimg.com/vi/0AO7iMw7-zM/default.jpg,0AO7iMw7-zM,367,Eric the Eel - Uncensored: The Daily Show,417701,7738,Trevor
2016-08-19T16:03:21Z,73,https://i.ytimg.com/vi/YW3KEe0S4-s/default.jpg,YW3KEe0S4-s,133,Censoring Gratuitous Movies - Between the Scenes: The Daily Show,361596,5258,Trevor
2016-08-19T16:03:04Z,77,https://i.ytimg.com/vi/JPOy2cqQk58/default.jpg,JPOy2cqQk58,128,The Rio Games - Between the Scenes: The Daily Show,474089,6596,Trevor
2016-08-16T19:12:37Z,759,https://i.ytimg.com/vi/7RAYoz_vVTQ/default.jpg,7RAYoz_vVTQ,1772,The Hardest Job in the World - Donald Trump's Campaign Surrogates: The Daily Show,2340363,25956,Trevor
2016-08-11T18:34:35Z,2379,https://i.ytimg.com/vi/25w439VNqTw/default.jpg,25w439VNqTw,4939,Did Donald Trump Call for Hillary Clinton's Assassination?: The Daily Show,2241337,28269,Trevor
2016-08-10T17:17:28Z,1124,https://i.ytimg.com/vi/NF4DR8dTEuA/default.jpg,NF4DR8dTEuA,1096,What the Actual Fact? - Donald Trump Lays Out His Economic Plan: The Daily Show,875607,11615,Trevor
2016-08-09T18:52:39Z,164,https://i.ytimg.com/vi/JBcI6HoEHQA/default.jpg,JBcI6HoEHQA,440,John Lewis Extended Interview - Getting Into Trouble to Fight Injustice: The Daily Show,325861,4412,Trevor
2016-08-01T19:26:27Z,184,https://i.ytimg.com/vi/apdrky-aLYY/default.jpg,apdrky-aLYY,166,Ronny Chieng's Philly Food Tour - Exclusive: The Daily Show,324754,3244,Trevor
2016-07-14T21:55:13Z,165,https://i.ytimg.com/vi/7MxnZPFxXQ0/default.jpg,7MxnZPFxXQ0,172,Exclusive - Preparing for the Conventions: The Daily Show,374560,3583,Trevor
2016-07-07T19:19:39Z,634,https://i.ytimg.com/vi/YunIdTQ4HS8/default.jpg,YunIdTQ4HS8,2542,Hillary Clinton or Donald Trump: Two Very Lucky Nominees: The Daily Show,1314748,21894,Trevor
2016-07-06T15:59:54Z,1577,https://i.ytimg.com/vi/iZ8YFUFnRdU/default.jpg,iZ8YFUFnRdU,1745,Donald Trump's Racist Tweet Problem: The Daily Show,1954187,21191,Trevor
2016-07-01T18:17:22Z,2825,https://i.ytimg.com/vi/rwfM5LGMmxg/default.jpg,rwfM5LGMmxg,3637,Jessica Williams Questions Sanders-to-Trump Supporters & Says Goodbye: The Daily Show,793284,11283,Trevor
2016-07-01T16:45:43Z,1274,https://i.ytimg.com/vi/Sm_t2Fh9ZmA/default.jpg,Sm_t2Fh9ZmA,1430,Hillary Clinton's New Ally and Old Benghazi Scandal: The Daily Show,673325,7742,Trevor
2016-06-29T15:37:59Z,47,https://i.ytimg.com/vi/vUeSqHkrJGI/default.jpg,vUeSqHkrJGI,120,Jordan Klepper's Happy Endings - Solving Illinois's Budget Gridlock - Uncensored: The Daily Show,128135,1286,Trevor
2016-06-28T22:11:04Z,376,https://i.ytimg.com/vi/2wsS-NNKuK4/default.jpg,2wsS-NNKuK4,621,"Thank You, Jessica Williams: The Daily Show",356729,6465,Trevor
2016-06-28T18:16:38Z,4825,https://i.ytimg.com/vi/uNsxCU0glHw/default.jpg,uNsxCU0glHw,4999,Brexit Breakdown: The Daily Show,2474695,29604,Trevor
2016-06-24T17:23:25Z,709,https://i.ytimg.com/vi/rQEdnozYZL8/default.jpg,rQEdnozYZL8,1682,House Democrats Stage a Sit-In: The Daily Show,1924798,20162,Trevor
2016-06-24T17:04:44Z,176,https://i.ytimg.com/vi/nVPMeoGGhcg/default.jpg,nVPMeoGGhcg,235,The Army Corps of Engineers' Iron Triangle: The Daily Show,558953,6191,Trevor
2016-06-23T18:57:43Z,1148,https://i.ytimg.com/vi/o5NFQrhisnw/default.jpg,o5NFQrhisnw,1451,Donald Trump's Contentious Campaign: The Daily Show,1182000,14403,Trevor
2016-06-17T17:12:17Z,182,https://i.ytimg.com/vi/th3WU7AuYM0/default.jpg,th3WU7AuYM0,392,Senate Democrats Filibuster for Gun Control: The Daily Show,588070,7018,Trevor
2016-06-16T17:20:19Z,2889,https://i.ytimg.com/vi/JMQSk9Q65ew/default.jpg,JMQSk9Q65ew,3836,Hillary Clinton and Donald Trump React to the Orlando Shooting: The Daily Show,2477053,29582,Trevor
2016-06-15T15:07:18Z,1971,https://i.ytimg.com/vi/RolEI5n4Jxs/default.jpg,RolEI5n4Jxs,5369,Trevor Reacts to the Orlando Shooting: The Daily Show,1787523,41336,Trevor
2016-05-30T17:50:17Z,88,https://i.ytimg.com/vi/ooXFTOybSLc/default.jpg,ooXFTOybSLc,161,Exclusive - The Daily Show vs. Justin Trudeau: Read My Spec Script,210406,2010,Trevor
2016-05-30T17:38:06Z,56,https://i.ytimg.com/vi/a443i0wlYIM/default.jpg,a443i0wlYIM,107,Exclusive - The Daily Show vs. Justin Trudeau: Get Ready to Look Like S**t,256394,3015,Trevor
2016-05-30T16:44:53Z,80,https://i.ytimg.com/vi/z3YzDNGR1Co/default.jpg,z3YzDNGR1Co,176,Exclusive - The Daily Show vs. Justin Trudeau: Sorry Not Sorry,305002,3549,Trevor
2016-05-27T16:20:40Z,4364,https://i.ytimg.com/vi/4tts3c5p6mg/default.jpg,4tts3c5p6mg,3097,President Obama's Visit to Vietnam & Hillary Clinton's Likability Problem: The Daily Show,2006230,17782,Trevor
2016-05-27T14:36:56Z,638,https://i.ytimg.com/vi/epM5KHDWDNU/default.jpg,epM5KHDWDNU,831,Tales From the Trump Archive - Donald Trump Can't Help but Be a Chauvinist: The Daily Show,1169170,7511,Trevor
2016-05-25T18:46:28Z,1094,https://i.ytimg.com/vi/13OOrw8P0OI/default.jpg,13OOrw8P0OI,1631,The NRA Endorses Donald Trump: The Daily Show,1850833,13631,Trevor
2016-05-20T18:01:19Z,1010,https://i.ytimg.com/vi/MKC1v1VMcXM/default.jpg,MKC1v1VMcXM,1433,Donald Trump and Megyn Kelly Finally Face Off: The Daily Show,1883904,15752,Trevor
