weekday,weekday_fct,weekday_chr,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month,month_chr,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,60,2011-03-01,3,180,865.0441239999999,5300,938,137,1714,1851
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,61,2011-03-02,3,321,930.002076,4400,1340,231,1903,2134
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,62,2011-03-03,3,39,791.353748,3100,1005,123,1562,1685
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,63,2011-03-04,3,180,855.564924,6100,871,214,1730,1944
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,64,2011-03-05,3,462,997.868524,7800,1072,640,1437,2077
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,65,2011-03-06,3,415,983.387312,9400,1541,114,491,605
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,66,2011-03-07,3,180,835.6609159999999,5500,1474,244,1628,1872
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,67,2011-03-08,3,227,909.5744000000001,4200,536,316,1817,2133
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,68,2011-03-09,3,227,891.318848,7700,938,191,1700,1891
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Rain/Snow/Storm,other,NA,69,2011-03-10,3,462,1005.832208,0,1139,46,577,623
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,70,2011-03-11,3,274,912.5799999999999,6400,1005,247,1730,1977
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,71,2011-03-12,3,321,936.5669999999999,5900,938,724,1408,2132
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,72,2011-03-13,3,462,999.385196,5200,1206,982,1435,2417
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,73,2011-03-14,3,321,943.792,4900,603,359,1687,2046
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,74,2011-03-15,3,274,927.8137680000001,6500,804,289,1767,2056
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,75,2011-03-16,3,415,984.17108,7700,871,321,1871,2192
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,76,2011-03-17,3,509,1034.344948,6000,938,424,2320,2744
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,77,2011-03-18,3,791,1169.222404,5200,1005,884,2355,3239
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,78,2011-03-19,3,650,1099.3029,3700,1608,1424,1693,3117
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,79,2011-03-20,3,321,936.5669999999999,4700,871,1047,1424,2471
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,80,2011-03-21,3,556,1033.65366,7300,1273,401,1676,2077
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,81,2011-03-22,3,556,1069.382152,6200,1005,460,2243,2703
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,82,2011-03-23,3,368,950.6574840000001,8300,1005,203,1918,2121
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,83,2011-03-24,3,227,873.082948,8000,1072,166,1699,1865
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,84,2011-03-25,3,180,856.296672,4900,1005,300,1910,2210
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,85,2011-03-26,3,180,857.752076,3900,938,981,1515,2496
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,86,2011-03-27,3,133,849.391884,4900,804,472,1221,1693
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,87,2011-03-28,3,180,857.7555440000001,3000,938,222,1806,2028
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Good,other,NA,88,2011-03-29,3,274,898.601648,3100,1005,317,2108,2425
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Clouds/Mist,other,NA,89,2011-03-30,3,274,903.7366,6400,737,168,1368,1536
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,March,March,March,2011,other,NA,Rain/Snow/Storm,other,NA,90,2011-03-31,3,180,857.7567,9100,938,179,1506,1685
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,91,2011-04-01,4,274,887.672824,6800,1139,307,1920,2227
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,92,2011-04-02,4,274,924.876372,6500,871,898,1354,2252
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,93,2011-04-03,4,415,997.8546520000001,4800,804,1651,1598,3249
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,94,2011-04-04,4,838,1187.625924,4200,1675,734,2381,3115
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,95,2011-04-05,4,509,1020.4926,6400,1742,167,1628,1795
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,96,2011-04-06,4,462,1008.074848,4700,1139,413,2395,2808
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,97,2011-04-07,4,556,1061.352576,6000,670,571,2570,3141
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,98,2011-04-08,4,321,935.097724,8300,1005,172,1299,1471
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,99,2011-04-09,4,368,954.8075240000001,8700,536,879,1576,2455
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,100,2011-04-10,4,556,1053.307972,8500,603,1188,1707,2895
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,101,2011-04-11,4,885,1213.390852,7100,1407,855,2493,3348
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,102,2011-04-12,4,697,1129.9704239999999,7300,1206,257,1777,2034
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,103,2011-04-13,4,509,1042.379148,8100,1072,209,1953,2162
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,104,2011-04-14,4,603,1094.929752,5400,469,529,2738,3267
Friday,NA,other,Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,105,2011-04-15,4,556,1070.851428,6700,1005,642,2484,3126
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Rain/Snow/Storm,other,NA,106,2011-04-16,4,556,1051.868752,8800,1474,121,674,795
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,107,2011-04-17,4,603,1075.224576,4700,1340,1558,2186,3744
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,108,2011-04-18,4,744,1141.6367759999998,5400,670,669,2760,3429
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,109,2011-04-19,4,697,1125.582248,6600,670,409,2795,3204
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,110,2011-04-20,4,885,1212.4371520000002,6100,1072,613,3331,3944
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,111,2011-04-21,4,603,1084.699152,4000,1407,745,3444,4189
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,112,2011-04-22,4,321,932.178824,7200,938,177,1506,1683
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,113,2011-04-23,4,603,1080.339876,8800,1005,1462,2574,4036
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,114,2011-04-24,4,885,1197.838028,8100,804,1710,2481,4191
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,115,2011-04-25,4,932,1224.122,7700,804,773,3300,4073
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,116,2011-04-26,4,979,1246.759948,7200,1407,678,3722,4400
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,117,2011-04-27,4,979,1224.864152,8300,1340,547,3325,3872
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Clouds/Mist,other,NA,118,2011-04-28,4,979,1229.2419240000002,7000,1407,569,3489,4058
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,119,2011-04-29,4,697,1135.0672279999999,4500,1072,878,3717,4595
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,April,April,April,2011,other,NA,Good,other,NA,120,2011-04-30,4,650,1096.408276,5000,1005,1965,3347,5312
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,121,2011-05-01,5,603,1078.123824,7600,469,1138,2213,3351
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,122,2011-05-02,5,791,1175.9549479999998,7300,804,847,3554,4401
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,123,2011-05-03,5,932,1232.8833240000001,6900,1474,603,3848,4451
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,124,2011-05-04,5,509,1027.7754,7300,1474,255,2378,2633
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,125,2011-05-05,5,603,1070.856052,4400,1273,614,3819,4433
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,126,2011-05-06,5,650,1108.079252,5900,1005,894,3714,4608
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,127,2011-05-07,5,744,1152.589876,5400,670,1612,3102,4714
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,128,2011-05-08,5,744,1159.886548,6300,335,1401,2932,4333
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,129,2011-05-09,5,791,1167.1843759999997,5800,737,664,3698,4362
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,130,2011-05-10,5,791,1164.265476,4800,469,694,4109,4803
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,131,2011-05-11,5,791,1170.8303999999998,6300,536,550,3632,4182
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,132,2011-05-12,5,791,1165.007628,7400,804,695,4169,4864
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,133,2011-05-13,5,744,1131.4108,8600,804,692,3413,4105
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,134,2011-05-14,5,744,1138.727124,9200,603,902,2507,3409
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,135,2011-05-15,5,838,1179.6160000000002,8600,670,1582,2971,4553
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,136,2011-05-16,5,885,1196.391872,7800,536,773,3185,3958
