original_record,call_time,description
"10:53    FORGERY-FRAUD                                           1904100073Occurred on Wahoo Ave, in Oroville. RP REQUESTING TO SPEAK TO DEPUTY REGARDING ID THEFT. . Disposition: Report Taken.",10:53,"    FORGERY-FRAUD                                           1904100073Occurred on Wahoo Ave, in Oroville. RP REQUESTING TO SPEAK TO DEPUTY REGARDING ID THEFT. . Disposition: Report Taken."
"10:59    VERBAL THREATS                                          1904100074Occurred on E Evans Reimer Rd, in Gridley. RP IS REQUESTING TO SPEAK TO DEPUTY REGARDING ON GOING HARASSMENT ISSUES WITH HER SOON TO BE EX-HUSBAND. RP WAS ADVISED THAT SHE NEEDED TO GO THE COURTS TO OBTAIN A RESTRAINING ORDER, RP STILL WOULD LIKE TO SPEAK TO DEPUTY REGARD THREATS. . Disposition: No Report Taken.",10:59,"    VERBAL THREATS                                          1904100074Occurred on E Evans Reimer Rd, in Gridley. RP IS REQUESTING TO SPEAK TO DEPUTY REGARDING ON GOING HARASSMENT ISSUES WITH HER SOON TO BE EX-HUSBAND. RP WAS ADVISED THAT SHE NEEDED TO GO THE COURTS TO OBTAIN A RESTRAINING ORDER, RP STILL WOULD LIKE TO SPEAK TO DEPUTY REGARD THREATS. . Disposition: No Report Taken."
"11:05    TRANSFERRED CALL-ALLIED AGENCY                          1904100075Occurred on Swedes Flat Rd, in Bangor. TRANSFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",11:05,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100075Occurred on Swedes Flat Rd, in Bangor. TRANSFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"11:07    WELFARE CHECK-MISCELLANEOUS                             1904100076Occurred on Old Honcut Rd, in Palermo. RP REQUESTING A WELFARE CHECK ON A SUBJECT THAT MAY BE LIVING AT THE LOCATION. . Disposition: No Report Taken.",11:07,"    WELFARE CHECK-MISCELLANEOUS                             1904100076Occurred on Old Honcut Rd, in Palermo. RP REQUESTING A WELFARE CHECK ON A SUBJECT THAT MAY BE LIVING AT THE LOCATION. . Disposition: No Report Taken."
"11:14    WELFARE CHECK-MISCELLANEOUS                             1904100077Occurred on Neal Rd, in Paradise. SEE COMMENTS. . Disposition: No Report Taken.",11:14,"    WELFARE CHECK-MISCELLANEOUS                             1904100077Occurred on Neal Rd, in Paradise. SEE COMMENTS. . Disposition: No Report Taken."
"11:16    FORGERY-FRAUD                                           1904100078Occurred on Spyglass Rd, in Chico. RP ADV HIS CREDIT CARD WAS STOLEN AND SOMEONE HAS USED IT IN CHICO AREA. RP ADV HIS VEHICLE WAS BROKEN INTO LAST WEEK AND HE BELIEVES IT IS RELATED. . Disposition: Report Taken.",11:16,"    FORGERY-FRAUD                                           1904100078Occurred on Spyglass Rd, in Chico. RP ADV HIS CREDIT CARD WAS STOLEN AND SOMEONE HAS USED IT IN CHICO AREA. RP ADV HIS VEHICLE WAS BROKEN INTO LAST WEEK AND HE BELIEVES IT IS RELATED. . Disposition: Report Taken."
"11:18    EXTRA PATROL-MISCELLANEOUS                              1904100079Officer initiated activity at Ralland Cir, Chico. . Disposition: No Report Taken.",11:18,"    EXTRA PATROL-MISCELLANEOUS                              1904100079Officer initiated activity at Ralland Cir, Chico. . Disposition: No Report Taken."
"11:19    MISCELLANEOUS-OTHER SERVICE                             1904100080Officer initiated activity at Skyway/South Park Dr, Magalia. BTW SOUTHPARK AND LOWER DOGTOWN. . Disposition: Jail Incident.",11:19,"    MISCELLANEOUS-OTHER SERVICE                             1904100080Officer initiated activity at Skyway/South Park Dr, Magalia. BTW SOUTHPARK AND LOWER DOGTOWN. . Disposition: Jail Incident."
"11:24    SUSPICIOUS PERSON                                       1904100081Occurred at Oroville Dam Blvd W/12TH St, in Oroville. RP ADVISED THAT THERE IS A MALE WALKING UP AND DOWN THE STREET LOOKING AT HOUSE. RP REQUESTING AN AREA CHECKHMA LSW: COWBOY HAT, BLK SUNGLASSES, BROWN COAT. . Disposition: No Report Taken.",11:24,"    SUSPICIOUS PERSON                                       1904100081Occurred at Oroville Dam Blvd W/12TH St, in Oroville. RP ADVISED THAT THERE IS A MALE WALKING UP AND DOWN THE STREET LOOKING AT HOUSE. RP REQUESTING AN AREA CHECKHMA LSW: COWBOY HAT, BLK SUNGLASSES, BROWN COAT. . Disposition: No Report Taken."
"11:26    SUSPICIOUS PERSON                                       1904100082Officer initiated activity at North Ave/Geneva Ln, Chico. S10 FLAGGED DOWN BY ONE. . Disposition: No Report Taken.",11:26,"    SUSPICIOUS PERSON                                       1904100082Officer initiated activity at North Ave/Geneva Ln, Chico. S10 FLAGGED DOWN BY ONE. . Disposition: No Report Taken."
"11:44    TRAFFIC STOP                                            1904100084Officer initiated activity at Openshaw Rd/Hwy 149, Oroville. . Disposition: Warning (Cite/Verbal).",11:44,"    TRAFFIC STOP                                            1904100084Officer initiated activity at Openshaw Rd/Hwy 149, Oroville. . Disposition: Warning (Cite/Verbal)."
"11:46    TRAFFIC STOP                                            1904100085Officer initiated activity at Skyway/Columbine Rd, Magalia. . Disposition: Warning (Cite/Verbal).",11:46,"    TRAFFIC STOP                                            1904100085Officer initiated activity at Skyway/Columbine Rd, Magalia. . Disposition: Warning (Cite/Verbal)."
"11:46    TRANSFERRED CALL-ALLIED AGENCY                          1904100086Occurred on Royal Oaks Dr, in Oroville. TRANSFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",11:46,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100086Occurred on Royal Oaks Dr, in Oroville. TRANSFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"11:48    THEFT                                                   1904100087Occurred on Riverview Dr, in Oroville. 10-21 RP - RP ADV THEFT OF A CHECK FROM THE MAILBOX. . Disposition: Report Taken.",11:48,"    THEFT                                                   1904100087Occurred on Riverview Dr, in Oroville. 10-21 RP - RP ADV THEFT OF A CHECK FROM THE MAILBOX. . Disposition: Report Taken."
"11:55    EXTRA PATROL-MISCELLANEOUS                              1904100088Occurred on Hart Dr, in Oroville. RP IS REQUESTING EXTRA PATROL AT THE LOCATION. RP ADVISED THAT THE POOL SERVICE GUY ADVISED THAT HE WOULD GO ON THE PROPERTY AND REMOVE POOL PARTS IF THE RP DID NOT PAY HIM. RP WAS INSTRUCTED ON THE TRESPASS AUTHORIZATION FORM AND REFERRED OVER TO THE COURTS REGARDING SMALL CLAIMS FOR SERVICE CONTRACTS. . Disposition: Log Note Only.",11:55,"    EXTRA PATROL-MISCELLANEOUS                              1904100088Occurred on Hart Dr, in Oroville. RP IS REQUESTING EXTRA PATROL AT THE LOCATION. RP ADVISED THAT THE POOL SERVICE GUY ADVISED THAT HE WOULD GO ON THE PROPERTY AND REMOVE POOL PARTS IF THE RP DID NOT PAY HIM. RP WAS INSTRUCTED ON THE TRESPASS AUTHORIZATION FORM AND REFERRED OVER TO THE COURTS REGARDING SMALL CLAIMS FOR SERVICE CONTRACTS. . Disposition: Log Note Only."
"11:55    ASSIST TO OTHER AGENCY                                  1904100089Occurred at Guill St/California St, in Chico. COURTESY ENTRY FOR CODE ENFORCEMENT. . Disposition: Outside Assist.",11:55,"    ASSIST TO OTHER AGENCY                                  1904100089Occurred at Guill St/California St, in Chico. COURTESY ENTRY FOR CODE ENFORCEMENT. . Disposition: Outside Assist."
"12:02    TRANSFERRED CALL-ALLIED AGENCY                          1904100090Occurred at Hwy 99/HWY 149, in Oroville. RP REPORTING RECKLESS DRIVER. RP XFER TO CHP Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",12:02,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100090Occurred at Hwy 99/HWY 149, in Oroville. RP REPORTING RECKLESS DRIVER. RP XFER TO CHP Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"12:14    MISCELLANEOUS-OTHER SERVICE                             1904100093Officer initiated activity at Washington Ave/Bird St, Oroville. S04 ADVISED OUT WITH A STRANDED MOTORIST ON THE HILL AND WASHINGTON. . Disposition: No Report Taken.",12:14,"    MISCELLANEOUS-OTHER SERVICE                             1904100093Officer initiated activity at Washington Ave/Bird St, Oroville. S04 ADVISED OUT WITH A STRANDED MOTORIST ON THE HILL AND WASHINGTON. . Disposition: No Report Taken."
"12:21    TRESPASSING-PROWLING                                    1904100095Occurred on Centennial Ave, in Chico. RP ADVISED THAT SHE PULLED UP AND FOUND HER NEIGHBORS USING A BLOW TORCH TO TRY AND REMOVE THE LOCK OFF HER GATE. RP ADVISED THAT THEY ARE BACK AT THEIR RESD 216 CENTENNIAL AVE. . Disposition: No Report Taken.",12:21,"    TRESPASSING-PROWLING                                    1904100095Occurred on Centennial Ave, in Chico. RP ADVISED THAT SHE PULLED UP AND FOUND HER NEIGHBORS USING A BLOW TORCH TO TRY AND REMOVE THE LOCK OFF HER GATE. RP ADVISED THAT THEY ARE BACK AT THEIR RESD 216 CENTENNIAL AVE. . Disposition: No Report Taken."
"12:29    TRESPASSING-PROWLING                                    1904100096Occurred at Coutolenc Rd/Skyway, in Magalia. RP IS REQUESTING TO SPEAK TO A DEPUTY REGARDING 602 ISSUE. . Disposition: No Report Taken.",12:29,"    TRESPASSING-PROWLING                                    1904100096Occurred at Coutolenc Rd/Skyway, in Magalia. RP IS REQUESTING TO SPEAK TO A DEPUTY REGARDING 602 ISSUE. . Disposition: No Report Taken."
"12:41    TRANSFERRED CALL-ALLIED AGENCY                          1904100099Occurred at Hwy 70/GARDEN Dr, in Oroville. TRANSFER TO CHPRP ADVISED THAT THERE IS TRASH FLYING OUT OF TRUCKCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",12:41,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100099Occurred at Hwy 70/GARDEN Dr, in Oroville. TRANSFER TO CHPRP ADVISED THAT THERE IS TRASH FLYING OUT OF TRUCKCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"12:42    VERBAL THREATS                                          1904100100Occurred on Hartnell Ct, in Magalia. RP ADVISED THAT SUBJECTS ARE THREATING HIM OVER THE PHONE. . Disposition: Options Provided.",12:42,"    VERBAL THREATS                                          1904100100Occurred on Hartnell Ct, in Magalia. RP ADVISED THAT SUBJECTS ARE THREATING HIM OVER THE PHONE. . Disposition: Options Provided."
"12:43    TRAFFIC STOP                                            1904100101Officer initiated activity at Imperial Way/Crescent Dr, Magalia. N8709899. . Disposition: Warning (Cite/Verbal).",12:43,"    TRAFFIC STOP                                            1904100101Officer initiated activity at Imperial Way/Crescent Dr, Magalia. N8709899. . Disposition: Warning (Cite/Verbal)."
"12:45    TRANSFERRED CALL-ALLIED AGENCY                          1904100102Occurred at Upper Palermo Rd/Palermo Honcut Hwy, in Palermo. CELL 911 CALL - RP ADV OF A POSS DUI DRIVER.  TRANSFER TO CHP. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",12:45,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100102Occurred at Upper Palermo Rd/Palermo Honcut Hwy, in Palermo. CELL 911 CALL - RP ADV OF A POSS DUI DRIVER.  TRANSFER TO CHP. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"12:52    TRAFFIC STOP                                            1904100103Officer initiated activity at Jack Pine Way/Steiffer Rd, Magalia. . Disposition: Warning (Cite/Verbal).",12:52,"    TRAFFIC STOP                                            1904100103Officer initiated activity at Jack Pine Way/Steiffer Rd, Magalia. . Disposition: Warning (Cite/Verbal)."
"13:09    TRANSFERRED CALL-ALLIED AGENCY                          1904100105Occurred on Wingate Cir, in Magalia. TRANFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",13:09,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100105Occurred on Wingate Cir, in Magalia. TRANFER TO MEDICALCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"13:21    CIVIL PROBLEM-NOT SHERIFF SERVICE                       1904100106Occurred on V-6 Rd, in Oroville. RP IS REQUESTING A DEPUTY TO SPEAK TO HER TENANT. RP ADVISED THAT SHE IS GOING THROUGH THE EVICTION PROCESS AND SHE CONTACTED HIM TO MOVE SOME VEHICLES SO THAT SHE CAN MOVE A TRAILER OFF THE PROPERTY. RP ADVISED THAT HE HAS NOT MOVED THE VEHICLE AND SHE IS TRYING TO CLEAN UP THE PROPERTY AND GET IT READY FOR SALE. . Disposition: Log Note Only.",13:21,"    CIVIL PROBLEM-NOT SHERIFF SERVICE                       1904100106Occurred on V-6 Rd, in Oroville. RP IS REQUESTING A DEPUTY TO SPEAK TO HER TENANT. RP ADVISED THAT SHE IS GOING THROUGH THE EVICTION PROCESS AND SHE CONTACTED HIM TO MOVE SOME VEHICLES SO THAT SHE CAN MOVE A TRAILER OFF THE PROPERTY. RP ADVISED THAT HE HAS NOT MOVED THE VEHICLE AND SHE IS TRYING TO CLEAN UP THE PROPERTY AND GET IT READY FOR SALE. . Disposition: Log Note Only."
"13:50    THEFT                                                   1904100108Occurred on Hurleton Swedes Flat Rd, in Oroville. 10-21 RP - RP ADV THEFT OF ITEMS FROM THE RP'S BURNT DOWN RESIDENCE. . Disposition: No Report Taken.",13:50,"    THEFT                                                   1904100108Occurred on Hurleton Swedes Flat Rd, in Oroville. 10-21 RP - RP ADV THEFT OF ITEMS FROM THE RP'S BURNT DOWN RESIDENCE. . Disposition: No Report Taken."
"13:51    RESTRAINING ORDER VIOLATIONS                            1904100109Occurred on Diamond Ave, in Chico. RP IS REQUESTING TO RPT A VIOLATION OF RESTRAINING ORDER. . Disposition: Report Taken.",13:51,"    RESTRAINING ORDER VIOLATIONS                            1904100109Occurred on Diamond Ave, in Chico. RP IS REQUESTING TO RPT A VIOLATION OF RESTRAINING ORDER. . Disposition: Report Taken."
"13:53    MISCELLANEOUS-OTHER SERVICE                             1904100111Officer initiated activity at Magnolia Dr, Magalia. . Disposition: Arrest Made.",13:53,"    MISCELLANEOUS-OTHER SERVICE                             1904100111Officer initiated activity at Magnolia Dr, Magalia. . Disposition: Arrest Made."
"13:55    TRAFFIC STOP                                            1904100112Officer initiated activity at Walnut St/W 6TH St, Chico. . Disposition: Warning (Cite/Verbal).",13:55,"    TRAFFIC STOP                                            1904100112Officer initiated activity at Walnut St/W 6TH St, Chico. . Disposition: Warning (Cite/Verbal)."
"13:59    TRANSFERRED CALL-ALLIED AGENCY                          1904100115Occurred on Hoover St, in Oroville. RP REPORTING HER VEHICLE WAS STOLEN.  TRANSFER TO CHP. . Disposition: Transfer Other Agency.",13:59,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100115Occurred on Hoover St, in Oroville. RP REPORTING HER VEHICLE WAS STOLEN.  TRANSFER TO CHP. . Disposition: Transfer Other Agency."
"14:03    TRANSFERRED CALL-ALLIED AGENCY                          1904100116Occurred at Garland/Carol Ann, in Forest Ranch. RP ADV HIS FRIEND WAS IN AN ACCIDENT AND REQUEST MEDICAL . RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",14:03,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100116Occurred at Garland/Carol Ann, in Forest Ranch. RP ADV HIS FRIEND WAS IN AN ACCIDENT AND REQUEST MEDICAL . RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
