weekday,weekday_chr,weekday_fct,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month_ord,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,11,2011-01-11,1,0,22.509776,68,8,43,1220,1263
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,12,2011-01-12,1,0,21.456082000000002,59,20,25,1137,1162
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,13,2011-01-13,1,0,21.130022,47,20,38,1368,1406
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,14,2011-01-14,1,0,22.406042,53,8,54,1367,1421
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,15,2011-01-15,1,2,24.435808,49,10,222,1026,1248
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,16,2011-01-16,1,2,23.963378,48,12,251,953,1204
1,Monday,Monday,1,Holiday,Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,17,2011-01-17,1,0,22.010214,53,12,117,883,1000
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,18,2011-01-18,1,2,23.899322,86,9,9,674,683
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,19,2011-01-19,1,5,26.146348000000003,74,13,78,1572,1650
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,20,2011-01-20,1,4,24.6717,53,13,83,1844,1927
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,21,2011-01-21,1,0,21.366322,45,23,75,1468,1543
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,22,2011-01-22,1,-5,18.6883664,40,11,93,888,981
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,23,2011-01-23,1,-3,19.3605294,43,16,150,836,986
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,24,2011-01-24,1,-3,20.009619999999998,49,10,86,1330,1416
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,25,2011-01-25,1,2,23.973883999999998,61,8,186,1799,1985
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,3,Rain/Snow/Storm,Rain/Snow/Storm,26,2011-01-26,1,2,22.9224,86,19,34,472,506
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,27,2011-01-27,1,1,23.4698,68,7,15,416,431
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,28,2011-01-28,1,1,23.592778,79,8,38,1129,1167
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,29,2011-01-29,1,1,23.212284,65,9,123,975,1098
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,30,2011-01-30,1,2,24.510948,72,4,140,956,1096
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,31,2011-01-31,1,0,22.3325,60,12,42,1459,1501
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,32,2011-02-01,2,1,23.97402,82,3,47,1313,1360
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,33,2011-02-02,2,4,24.650178,77,17,72,1454,1526
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,34,2011-02-03,2,0,22.047852,43,18,61,1489,1550
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,35,2011-02-04,2,1,23.771958,58,8,88,1620,1708
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,36,2011-02-05,2,2,24.263972,92,10,100,905,1005
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,37,2011-02-06,2,5,25.916814000000002,56,9,354,1269,1623
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,38,2011-02-07,2,4,26.324372,73,3,120,1592,1712
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,39,2011-02-08,2,2,22.740364,53,24,64,1466,1530
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,40,2011-02-09,2,-1,20.905622,49,12,53,1552,1605
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,41,2011-02-10,2,-1,21.084632,43,14,47,1491,1538
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,42,2011-02-11,2,0,23.259306000000002,50,7,149,1597,1746
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,43,2011-02-12,2,2,23.920436,54,13,288,1184,1472
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,44,2011-02-13,2,6,27.019841999999997,45,17,397,1192,1589
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,45,2011-02-14,2,11,29.5439,37,27,208,1705,1913
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,46,2011-02-15,2,4,24.645316,31,19,140,1675,1815
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,47,2011-02-16,2,6,26.750799999999998,42,16,218,1897,2115
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,48,2011-02-17,2,12,30.574372,50,15,259,2216,2475
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,49,2011-02-18,2,16,33.407422,51,17,579,2348,2927
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,50,2011-02-19,2,10,29.307736,18,34,532,1103,1635
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,51,2011-02-20,2,5,25.42922,40,14,639,1173,1812
1,Monday,Monday,1,Holiday,Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,52,2011-02-21,2,6,25.658549999999998,60,20,195,912,1107
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,53,2011-02-22,2,0,22.325122,57,13,74,1376,1450
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,1,Good,Good,54,2011-02-23,2,2,24.354378,42,6,139,1778,1917
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,55,2011-02-24,2,5,25.832493999999997,69,16,100,1707,1807
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,56,2011-02-25,2,9,27.915674000000003,71,23,120,1341,1461
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,57,2011-02-26,2,5,25.594528,53,12,424,1545,1969
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Feb,February,0,2011,2011,1,Good,Good,58,2011-02-27,2,8,27.937706,68,8,694,1708,2402
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Feb,February,0,2011,2011,2,Clouds/Mist,Clouds/Mist,59,2011-02-28,2,11,29.604011999999997,87,19,81,1365,1446
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,60,2011-03-01,3,4,24.971885999999998,53,14,137,1714,1851
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,61,2011-03-02,3,7,26.882414,44,20,231,1903,2134
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,62,2011-03-03,3,1,22.804522,31,15,123,1562,1685
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,63,2011-03-04,3,4,24.693086,61,13,214,1730,1944
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,64,2011-03-05,3,10,28.878486,78,16,640,1437,2077
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,65,2011-03-06,3,9,28.452568,94,23,114,491,605
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,66,2011-03-07,3,4,24.107674,55,22,244,1628,1872
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,67,2011-03-08,3,5,26.2816,42,8,316,1817,2133
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,68,2011-03-09,3,5,25.744672,77,14,191,1700,1891
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,3,Rain/Snow/Storm,Rain/Snow/Storm,69,2011-03-10,3,10,29.112712000000002,0,17,46,577,623
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,70,2011-03-11,3,6,26.369999999999997,64,15,247,1730,1977
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,1,Good,Good,71,2011-03-12,3,7,27.075499999999998,59,14,724,1408,2132
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,1,Good,Good,72,2011-03-13,3,10,28.923094,52,18,982,1435,2417
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,73,2011-03-14,3,7,27.288,49,9,359,1687,2046
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,74,2011-03-15,3,6,26.818052,65,12,289,1767,2056
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,75,2011-03-16,3,9,28.47562,77,13,321,1871,2192
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,76,2011-03-17,3,11,29.951321999999998,60,14,424,2320,2744
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,77,2011-03-18,3,17,33.918306,52,15,884,2355,3239
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,1,Good,Good,78,2011-03-19,3,14,31.86185,37,24,1424,1693,3117
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,1,Good,Good,79,2011-03-20,3,7,27.075499999999998,47,13,1047,1424,2471
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,80,2011-03-21,3,12,29.93099,73,19,401,1676,2077
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,81,2011-03-22,3,12,30.981828,62,15,460,2243,2703
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,82,2011-03-23,3,8,27.489926,83,15,203,1918,2121
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,83,2011-03-24,3,5,25.208322,80,16,166,1699,1865
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,84,2011-03-25,3,4,24.714608,49,15,300,1910,2210
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,1,Good,Good,85,2011-03-26,3,4,24.757414,39,14,981,1515,2496
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,86,2011-03-27,3,3,24.511526,49,12,472,1221,1693
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,87,2011-03-28,3,4,24.757516000000003,30,14,222,1806,2028
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,1,Good,Good,88,2011-03-29,3,6,25.958872,31,15,317,2108,2425
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,2,Clouds/Mist,Clouds/Mist,89,2011-03-30,3,6,26.1099,64,11,168,1368,1536
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Mar,March,0,2011,2011,3,Rain/Snow/Storm,Rain/Snow/Storm,90,2011-03-31,3,4,24.757550000000002,91,14,179,1506,1685
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,91,2011-04-01,4,6,25.637436,68,17,307,1920,2227
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,92,2011-04-02,4,6,26.731658,65,13,898,1354,2252
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,1,Good,Good,93,2011-04-03,4,9,28.878078000000002,48,12,1651,1598,3249
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,94,2011-04-04,4,18,34.459586,42,25,734,2381,3115
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,95,2011-04-05,4,11,29.5439,64,26,167,1628,1795
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,96,2011-04-06,4,10,29.178672,47,17,413,2395,2808
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,97,2011-04-07,4,12,30.745664,60,10,571,2570,3141
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,98,2011-04-08,4,7,27.032286,83,15,172,1299,1471
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,99,2011-04-09,4,8,27.611986,87,8,879,1576,2455
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,100,2011-04-10,4,12,30.509058,85,9,1188,1707,2895
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,101,2011-04-11,4,19,35.217378,71,21,855,2493,3348
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,102,2011-04-12,4,15,32.763836,73,18,257,1777,2034
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,103,2011-04-13,4,11,30.187622,81,16,209,1953,2162
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,104,2011-04-14,4,13,31.733228,54,7,529,2738,3267
5,Friday,Friday,1,Holiday,Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,1,Good,Good,105,2011-04-15,4,12,31.025042,67,15,642,2484,3126
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,3,Rain/Snow/Storm,Rain/Snow/Storm,106,2011-04-16,4,12,30.466728,88,22,121,674,795
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,1,Good,Good,107,2011-04-17,4,13,31.153664,47,20,1558,2186,3744
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,108,2011-04-18,4,16,33.106964,54,10,669,2760,3429
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,109,2011-04-19,4,15,32.634772,66,10,409,2795,3204
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,110,2011-04-20,4,19,35.189328,61,16,613,3331,3944
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,111,2011-04-21,4,13,31.432328,40,21,745,3444,4189
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,112,2011-04-22,4,7,26.946436,72,14,177,1506,1683
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,113,2011-04-23,4,13,31.304114,88,15,1462,2574,4036
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,114,2011-04-24,4,19,34.759941999999995,81,12,1710,2481,4191
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,115,2011-04-25,4,20,35.533,77,12,773,3300,4073
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,116,2011-04-26,4,21,36.198822,72,21,678,3722,4400
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,117,2011-04-27,4,21,35.554828,83,20,547,3325,3872
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,2,Clouds/Mist,Clouds/Mist,118,2011-04-28,4,21,35.683586000000005,70,21,569,3489,4058
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Apr,April,0,2011,2011,1,Good,Good,119,2011-04-29,4,15,32.913742,45,16,878,3717,4595
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Apr,April,0,2011,2011,1,Good,Good,120,2011-04-30,4,14,31.776714,50,15,1965,3347,5312
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,121,2011-05-01,5,13,31.238936,76,7,1138,2213,3351
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,122,2011-05-02,5,17,34.116322,73,12,847,3554,4401
